S1,S2,S3,S4,S5,S6,S7,S8,Gesture_Class
2.25,-0.375,1.375,2.125,1.125,-7.625,-1.125,-2.0,3
0.125,-2.0,-0.5,-1.125,-8.5,-7.75,0.5,-0.75,2
-1.25,-0.25,-1.25,-0.5,0.0,3.5,-0.125,1.875,2
-1.0,-1.75,0.5,-1.375,1.0,-1.125,-4.75,-1.125,0
3.125,0.75,0.5,1.5,1.25,1.25,1.375,-2.0,0
-0.125,1.625,-0.75,1.125,4.5,5.625,1.5,1.5,2
1.375,-1.25,-1.875,-2.125,-1.25,-1.875,-2.625,-2.875,3
-2.625,-1.375,1.25,1.125,0.25,-0.75,-1.625,-4.375,2
7.875,-4.75,-3.375,-2.25,-6.875,-0.125,-1.5,-4.0,2
-5.625,-0.625,-0.375,0.125,-0.875,2.75,-0.875,-3.25,1
0.375,-0.5,-0.25,0.625,-4.75,2.125,-0.25,2.25,2
0.75,0.625,0.5,0.0,0.625,-4.0,-0.5,-2.125,3
0.375,0.125,-0.5,-1.0,-2.125,-5.375,-1.75,0.625,3
-0.875,-0.25,-0.625,-1.375,-2.5,-5.75,-1.875,0.375,3
-4.875,-0.875,-0.875,-0.125,-1.25,-2.625,-15.5,-7.125,0
1.5,-1.625,-0.75,-1.125,-1.125,-4.25,-1.5,-2.5,2
0.875,6.0,0.125,0.75,2.625,4.75,-0.25,3.0,2
-0.125,1.0,-0.5,-0.625,-3.125,-13.75,-5.625,-0.875,3
-1.875,-0.375,0.25,0.125,12.0,1.5,-2.5,-3.375,2
0.625,1.0,4.25,1.75,5.375,9.375,0.625,-0.625,2
-1.75,-1.125,-1.75,-0.25,2.125,3.375,-0.375,2.5,2
-2.75,-0.75,-0.5,-0.625,4.125,4.625,-0.875,-1.125,3
-0.875,-0.5,-0.5,0.0,1.25,-0.75,-2.125,-0.125,1
-1.625,-0.875,-1.125,-1.25,-1.5,-0.875,-0.25,0.0,3
-5.375,0.25,-0.5,0.75,4.75,14.75,4.25,-2.375,3
1.125,0.125,-0.125,-1.375,-3.5,1.75,-1.75,0.125,3
-0.5,4.0,-0.375,-1.125,-7.875,-7.0,-2.125,-1.875,2
-1.375,-0.875,-1.125,-0.25,-1.25,-2.625,-1.25,-2.375,1
-0.875,-1.25,-1.375,-1.25,3.875,-2.375,-1.25,-1.375,1
6.375,0.125,0.0,-0.75,1.125,-0.125,-4.125,2.125,0
-2.125,0.375,0.125,0.5,-1.75,-1.875,0.125,2.25,1
8.5,2.5,2.5,2.5,-1.125,1.75,0.75,-3.5,0
2.375,-2.625,-4.375,-6.5,-4.5,-5.875,8.0,-2.75,0
-0.375,0.75,-1.25,-1.75,-0.125,-5.125,-0.625,-0.125,2
-1.0,-0.5,-0.5,-1.625,-2.625,-2.75,-2.125,-2.75,0
1.5,0.125,-1.25,-1.375,-1.5,-0.875,-2.25,-2.625,2
-4.125,-3.5,-3.875,-0.25,-1.625,-7.75,-5.125,-4.0,2
-2.25,-1.75,-0.875,-1.25,1.125,1.25,2.375,-0.25,0
4.875,4.25,-0.5,-0.625,-0.75,2.75,-2.25,-0.75,2
3.125,-1.0,-1.0,-1.5,-3.25,-3.0,-17.0,0.75,0
-4.75,-0.25,-1.0,-0.375,-1.5,-0.875,-31.5,-6.75,0
-3.0,-1.0,-0.875,0.25,-3.5,-2.875,-1.25,-1.125,1
2.375,-0.125,-0.375,-0.25,-5.125,-4.125,-1.875,-2.125,1
1.125,-0.125,-0.125,-1.375,-5.5,-15.125,-2.0,-1.625,3
-2.0,-1.5,-1.0,0.125,-1.0,-0.125,-1.0,-1.5,3
-0.875,-1.375,-0.875,0.375,-1.0,-2.0,4.875,3.75,0
-5.125,-3.75,-0.125,3.0,-2.0,-0.625,4.125,-0.25,3
-2.75,-4.5,-0.25,-0.625,1.25,3.375,-1.625,-1.875,0
-4.125,-0.125,-0.25,-1.0,-6.375,-3.875,-1.25,-0.875,1
2.625,-0.875,-1.375,-0.125,2.75,3.0,0.25,0.0,1
0.5,5.75,0.75,-2.125,-0.125,3.5,1.375,-2.125,2
-3.375,-2.625,-0.875,0.125,0.375,0.5,-0.75,-1.125,1
-1.375,-1.25,-0.875,0.75,2.5,3.0,-1.75,-2.625,3
5.125,-0.375,-0.5,-0.25,0.375,0.75,-1.0,-1.25,3
-1.625,-1.75,-1.25,-5.625,-3.375,-0.25,-56.5,-8.0,0
-2.375,-3.625,-1.75,-1.75,-0.125,2.25,-4.125,-0.75,0
-7.5,-5.125,-0.875,-0.875,-1.375,3.625,-0.125,5.375,2
-0.375,0.625,-0.75,0.125,2.75,10.125,1.375,2.375,3
-5.625,-1.0,-0.5,0.0,0.125,2.5,-0.75,1.25,1
1.0,3.75,1.0,0.25,-1.25,-12.5,-4.125,2.75,3
-2.875,-1.25,-0.875,0.125,2.25,-0.375,-1.125,-0.25,1
-1.625,-1.5,-1.375,-1.625,-2.5,1.625,-0.625,-1.125,1
-0.625,1.125,0.5,1.125,-2.0,-5.5,-41.25,-6.0,0
4.375,-6.875,-0.5,-0.25,-2.0,-1.0,0.125,1.125,2
-1.75,-0.375,-0.25,0.75,4.125,1.75,0.125,-3.375,3
-1.375,5.75,-0.5,-2.125,-4.5,-1.5,-4.375,-7.25,2
-1.25,-0.375,0.25,-0.125,0.5,-4.5,-0.75,-1.625,1
5.75,2.375,-0.125,-2.375,1.25,8.875,-1.375,5.0,0
0.0,-0.5,-1.25,-1.25,-4.375,-1.5,-1.125,1.875,1
-2.125,-2.5,-2.0,-3.625,-2.625,-11.875,-2.5,-8.375,3
0.0,-1.25,-1.75,-1.0,1.5,2.0,-0.25,2.125,3
-0.75,-0.625,-0.375,-0.375,4.375,0.0,-0.125,-3.125,3
-3.125,-3.0,-2.375,-2.375,4.25,0.625,-1.5,-2.125,2
6.25,-2.0,-1.625,-1.375,-1.625,-1.25,-0.75,-1.0,2
-26.375,-6.0,-5.625,-6.375,5.5,0.125,-23.5,-7.125,0
2.125,0.375,-1.0,-0.125,-2.75,-1.125,0.125,2.625,2
2.375,5.125,0.125,-0.5,1.75,-5.5,-2.0,-3.25,2
-2.125,6.625,1.125,-1.5,-0.75,-3.5,0.25,-0.625,2
-2.0,-1.125,-0.375,1.125,0.875,-4.375,-1.0,-3.25,3
3.5,9.25,1.625,0.125,4.5,-2.875,-3.0,0.5,2
-0.375,-1.25,0.375,0.125,-3.25,-3.5,-0.5,-1.75,1
-2.25,-1.125,-1.0,-0.25,0.5,3.25,-1.0,0.0,1
0.625,3.0,2.125,-0.125,0.25,0.0,2.125,1.75,0
-0.125,-0.75,-1.0,-1.125,-3.25,2.875,0.5,-0.125,3
-3.0,-0.875,-0.25,1.125,-1.375,-1.875,-8.375,5.25,0
-2.25,-1.625,-1.125,-1.625,-2.5,-0.625,-1.75,-0.5,1
3.75,-1.0,-3.875,-1.875,2.75,-5.5,-3.25,-11.0,0
1.625,-0.625,-0.75,-1.625,0.125,-4.625,-4.875,-2.5,0
-1.0,-1.0,-0.375,-0.75,1.375,-4.5,-0.625,-2.125,2
-1.875,-0.5,-1.0,-0.625,0.0,1.875,-1.0,0.125,1
-3.875,-1.125,0.25,0.5,-0.375,-4.0,1.75,1.875,0
1.875,-0.75,-1.375,-1.125,-4.25,-1.75,-2.625,-1.125,3
1.375,-1.125,-0.625,-0.75,2.75,2.625,-2.0,-0.75,3
-0.375,-0.5,-1.375,-1.75,-0.125,0.75,1.625,-2.0,0
-0.875,-0.25,-1.25,-0.125,10.0,4.25,-0.5,1.5,1
-3.0,-1.0,-1.25,-0.25,-1.5,-1.0,0.25,-3.375,3
-3.625,-1.25,-1.375,-1.0,-2.0,0.125,-1.125,-0.875,1
5.875,0.75,-0.375,-0.875,-4.625,-9.125,-1.125,0.625,1
-2.75,-1.0,-2.5,-2.0,-3.875,-0.75,-29.875,0.125,0
-5.0,-0.5,0.0,0.75,4.75,6.875,2.125,-0.75,1
-3.375,-0.625,-1.5,-1.5,4.5,-1.875,-0.25,-1.25,1
0.0,0.625,-0.75,-0.25,3.875,8.0,0.625,-2.25,2
0.25,0.0,-0.25,-0.75,0.625,0.0,1.0,3.75,3
9.125,-0.125,-1.0,-1.375,7.125,4.625,-0.375,4.375,1
-4.5,-0.875,0.625,2.0,-0.625,5.25,12.5,7.5,0
-7.25,1.5,-0.75,-2.125,0.75,1.25,9.5,-2.75,0
0.375,-2.25,-3.0,-3.75,1.25,-0.75,5.875,5.875,0
0.75,0.0,-2.0,-1.375,-4.625,-3.75,1.5,0.375,2
2.625,-0.375,-0.75,-0.25,4.0,3.125,-1.125,-2.25,1
-5.0,-0.625,-0.25,1.875,0.5,-3.5,-12.75,-5.25,0
-1.375,0.625,-0.125,1.0,-8.375,-1.875,-1.375,-2.0,1
