Model Eğitim Logları
==================================================

Veri Yükleme Tamamlandı
Toplam Veri Sayısı: 4237907
Veri Temizleme Atlandı
Filtreleme Atlandı
Dengeleme Atlandı
Özellik Çıkarımı Atlandı
Eğitim, Doğrulama ve Test Setleri Ayrıldı
Veri Normalizasyonu Tamamlandı
Epoch 70/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 71/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 72/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 73/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 74/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 75/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 76/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 77/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 78/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 79/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 80/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 81/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 82/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 83/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 84/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 85/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 86/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 87/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 88/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 89/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 90/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 91/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 92/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 93/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 94/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 95/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 96/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 97/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 98/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 99/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 100/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 101/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 102/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 103/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 104/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 105/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 106/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 107/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 108/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 109/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 110/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 111/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 112/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 113/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 114/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 115/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 116/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 117/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 118/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 119/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 120/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 121/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 122/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 123/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 124/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 125/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 126/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 127/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 128/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 129/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 130/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 131/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 132/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 133/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 134/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 135/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 136/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 137/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
Epoch 138/500: Eğitim Kaybı: 2.0785, Doğrulama Kaybı: 2.0785
