MAV,RMS,WL,ZC,Gesture_Class
6.65625,9.701803955966128,523.0,27,3
8.171875,11.127808634228035,566.0,27,2
13.046875,17.553044607702677,1167.0,31,2
46.515625,58.12768810988443,3489.0,21,0
10.59375,14.384236163244818,725.0,18,2
12.671875,17.639178694032214,869.0,21,2
9.34375,15.038492278150759,831.0,37,2
9.796875,15.02861853265296,916.0,37,3
9.953125,14.978630611641373,861.0,31,2
8.171875,13.448396744593758,575.0,25,1
7.171875,11.23401642334566,600.0,27,1
6.875,8.73212459828649,589.0,32,0
6.1875,9.142961773954871,503.0,31,3
14.421875,22.011005769841596,1254.0,27,0
6.125,9.003471552684553,496.0,28,1
18.09375,24.295704352827478,1561.0,31,0
10.59375,14.165318563308062,924.0,34,0
9.59375,14.353788698458676,867.0,32,2
6.34375,10.955877418080215,565.0,30,1
10.8125,17.5863938884582,960.0,28,0
12.359375,16.576055773313506,1000.0,25,3
7.8125,11.669940016983807,590.0,26,3
5.1875,7.800240380911347,452.0,28,0
8.34375,15.495967217311735,740.0,26,1
8.203125,11.805057179022896,648.0,22,3
7.703125,13.3281891118036,552.0,22,1
10.140625,17.770674579204922,828.0,29,1
21.828125,34.46170882298207,1675.0,24,0
8.8125,14.863966496194749,721.0,29,1
5.359375,8.745534574855903,479.0,23,1
11.171875,13.840046062062077,798.0,19,2
6.171875,10.52897787061973,499.0,25,3
8.515625,14.22970045362867,670.0,35,1
30.390625,44.80984127398801,2213.0,17,0
12.609375,20.957919147663493,1096.0,34,0
17.984375,29.045492335300498,1441.0,33,0
8.609375,12.016265018715258,742.0,29,2
8.46875,14.628738838327793,857.0,34,1
18.9375,32.32790976849571,1551.0,23,0
8.53125,12.759800155174846,730.0,29,1
9.671875,14.404317929010038,767.0,29,0
6.921875,9.660648270173176,566.0,30,2
8.515625,12.53557437854365,708.0,27,2
23.109375,37.96112320519507,2080.0,33,0
8.390625,11.881577125954282,854.0,41,0
6.0625,10.612492638395562,501.0,36,1
6.453125,10.728903718460707,596.0,32,1
12.21875,21.533404282648853,1097.0,31,3
16.78125,29.85328708869427,1395.0,24,0
14.125,24.751262594057703,1173.0,22,0
12.3125,17.51338773624338,1058.0,31,2
10.484375,18.891549036540123,919.0,30,0
16.15625,23.999348949502775,1148.0,23,0
8.421875,15.107427808862765,755.0,29,1
11.140625,16.31573243835532,998.0,26,2
10.1875,14.45142726515274,773.0,20,0
5.828125,9.230553883706005,499.0,33,3
13.3125,17.00275712935993,1074.0,31,0
7.828125,11.575161985907584,763.0,31,2
6.359375,9.235630731032938,502.0,21,1
12.078125,18.485213685537964,941.0,21,3
11.90625,17.31058202372179,978.0,23,2
8.546875,14.048465218663567,722.0,30,3
12.671875,18.64260912533436,1084.0,28,1
7.90625,16.651764170801844,800.0,32,0
7.375,13.3393215719541,620.0,30,0
6.4375,9.878954904239619,543.0,30,1
15.84375,22.22611077089287,1259.0,23,2
12.953125,17.723131072132823,900.0,14,2
11.703125,17.858383885447193,1012.0,31,1
8.171875,11.607513730338638,767.0,29,3
9.234375,11.673286812205035,800.0,29,2
10.796875,15.921192637487934,877.0,21,2
12.90625,22.49235981394571,1002.0,19,0
13.265625,24.732001031052864,1158.0,28,3
5.53125,9.514791116992532,442.0,36,3
7.46875,12.796483892069727,643.0,32,1
9.671875,13.882880644880586,700.0,25,3
11.671875,18.775399463127275,1082.0,32,2
12.171875,21.182613743350938,1005.0,27,3
11.375,15.699323233821259,949.0,32,2
6.296875,10.168118065797623,573.0,27,1
7.25,11.497282287566918,628.0,35,1
9.40625,13.429212560682775,730.0,21,1
9.234375,14.512386950464077,762.0,24,2
8.375,12.99038105676658,628.0,16,2
